Level,People & Identity,Family & Relationships,Body & Health,Feelings & Emotions,Personality & Character Traits,Communication & Language,Thoughts & Mental Processes,Work & Professions,Education & Learning,Art & Creativity,Music & Sound,Literature & Writing,Media & Entertainment,Sports & Recreation,Games & Hobbies,Food & Cooking,Plants & Botany,Animals & Zoology,Nature & Environment,Weather & Climate,Geography & Places,Time & Calendar,Space & Astronomy,Science & Technology,Tools & Equipment,Machines & Devices,Materials & Substances,Clothing & Fashion,Home & Furniture,Buildings & Architecture,Transportation & Vehicles,Travel & Tourism,Money & Finance,Business & Economics,Law & Justice,Government & Politics,Religion & Spirituality,Social Issues & Society,Culture & Traditions,Mathematics & Measurement,Colors & Shapes,Properties & Qualities,Quantity & Amount,Movement & Direction,Cause & Effect,Comparisons & Similarity,Existence & States of Being,Abstract Concepts,Question Words,Verbs – Physical Actions / Motion,Verbs – Mental / Cognitive Actions,Verbs – Communication Actions,Verbs – Creation / Art / Craft,Verbs – Consumption / Interaction,Verbs – Change / Process,Verbs – Auxiliary / Helping Verbs
5,klient,brudgom,operasjon,sinneutbrudd,generøs,argument,konsept,,ferdighetsutvikling,designprosess,,synsvinkel,instruksjon,hinderløype,rubiks,brus,fugl,kattunge,jordbruk,klimasoner,monument,,,,,instrument,substans,,toalett,betong,toglinje,turguide,,partnerskap,,president,trosfellesskap,urbanisering,kulturell praksis,radius,,,begrensning,fremdrift,,,passivitet,,,skyve bort,konsentrere seg godt,uttrykke mening,male vegg,,fermentere mat,avslutte prosjekt
6,pasient,forlover,vaksine,,egoistisk,argumentasjon,idémyldring,,,formgivning,,bibliografi,event,svømmehall,,eple,alger,,global oppvarming,,slott,,,,,,kjemikalie,,,treverk,togstasjon,,,virksomhet,,,pilegrim,landsbygd,tradisjonsbevaring,diameter,,,kvote,,,,transformasjon,,,hinke frem,evaluere situasjon,annonsere nyhet,tegne skisse,,forvitre materiale,lykkes med
6,kunstner,ektepar,rehabilitering,,ego-sentrert,retorikk,prioritering,,,skaperkraft,,kilde,festival,,,banan,blomstring,,,,,,,,,,,,,metallstruktur,flyplass,,,,,,,samfunnsutvikling,lokal kultur,,,,,,,,mangler,,,skli på is,,spørre spørsmål,lage keramikk,,modne frukt,tillate handling
6,skuespiller,verge,,,samarbeidsvillig,formidling,erfaringsoverføring,,,,,redigering,,,,appelsin,,,,,,,,,,,,,,moderne bygg,,,,,,,,,,,,,,,,,,,,løpe i sirkel,,svare ærlig,bygge hus,,forvandle rom,nekte tilbud
6,musiker,mentor,,,konkurranseorientert,kommunikasjonsteknologi,,,,,,korrektur,,,,sitron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,falle bakover,,,designe møbel,,intensivere farge,ha lov til å
6,forfatter,beskytter,,,,taleevne,,,,,,litteraturhistorie,,,,tomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snuble over,,,,,svekke strukturen,anta riktig
6,prest,familiestøtte,,,,,,,,,,,,,,agurk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,løpe til,,,,,styrke muskler,se ut til å
6,prestinne,familieoverhode,,,,,,,,,,,,,,salat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoppe til siden,,,,,erstatte deler,virke sann
6,helt,,,,,,,,,,,,,,,løk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,svømme raskt,,,,,rekonstruere bygning,gjøre ferdig oppgave
6,heltinne,,,,,,,,,,,,,,,gulrot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spasere sakte,,,,,,klare oppgaven
6,filosof,,,,,,,,,,,,,,,ert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gå frem,,,,,,holde på å starte
7,lederfigur,,,,,,,,,,,,,,,bønne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gå tilbake,,,,,,
7,diktator,,,,,,,,,,,,,,,mais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,balansere,,,,,,
7,,,,,,,,,,,,,,,,sopp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,balansere på line,,,,,,
7,,,,,,,,,,,,,,,,nøtter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,krype inn,,,,,,
7,,,,,,,,,,,,,,,,mandel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,krype ut,,,,,,
7,,,,,,,,,,,,,,,,olivenolje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,løpe om kapp,,,,,,
7,,,,,,,,,,,,,,,,appelsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transportere,,,,,,
7,,,,,,,,,,,,,,,,sitron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bevegelighet,,,,,,
7,,,,,,,,,,,,,,,,pære,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bevegelse,,,,,,
7,,,,,,,,,,,,,,,,plomme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fremdrift,,,,,,
8,,,,,,,,,,,,,,,,fersken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retning,,,,,,
8,,,,,,,,,,,,,,,,nektarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kurs,,,,,,
8,,,,,,,,,,,,,,,,kirsebær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vei,,,,,,
8,,,,,,,,,,,,,,,,granateple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rute,,,,,,
8,,,,,,,,,,,,,,,,skinke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sti,,,,,,
8,,,,,,,,,,,,,,,,reker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bane,,,,,,
8,,,,,,,,,,,,,,,,tunfisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,sild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,krabbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,blåskjell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,aubergine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,squash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,rødbeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,selleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,reddik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,fennikel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,asparges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,avocado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,valnøtter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,hasselnøtter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,peanøtter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,cashewnøtter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,solsikkeolje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,smørbrød,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,suppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,saus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,kake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,sjokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,iskrem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,krydret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,søt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,saltet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,bitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,smakfull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,rå,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,stekt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,kokt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,bakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,grillet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,dampet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,marinert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,frokostblanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,havregryn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,spaghetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,maisstivelse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,honning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,syltetøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,ketchup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,sennep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,majones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,pickles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,brunsaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,fiskesaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,soyasaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,tomatsaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,pesto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,basilikum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,oregano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,timian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,rosmarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,persille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,dill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,kanel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,ingefær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,kardemomme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,muskatnøtt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,paprika krydder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,chili pulver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,hvit pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,grønnsaksbuljong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,kjøttbuljong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,fiskebuljong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,melkekrem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,fløte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,rømme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,margarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,vegetabilsk olje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,limejuice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,tomatpuré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,brødsmuler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,mel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,hvetemel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,grovt mel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,maismel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,gjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,bakepulver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,natron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,vanilje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,sjokoladekake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,eplekake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,rundstykke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,baguette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,croissant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,muffins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,smørbrødskive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,pålegg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,storfekjøtt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
